sha1sum,hopper1_kvm_patched_conf1,hopper1_kvm_patched_conf2,hopper2_vmware_conf3,hopper4_vmware_conf2,hopper5_vmware_conf2_vmtools,hopper6_kvm_legacy_conf1,hopper6_kvm_legacy_conf2,hopper3_vbox_conf1,hopper3_vbox_conf2,hopper8_vbox_conf1_guestadditions,hopper8_vbox_conf2_guestadditions,hopper7_qemu_legacy_conf1,hopper7_qemu_legacy_conf2
08ba3f71382e98519c3378a7a9246afcc8b98045,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
7228c0cce5059783508837d4c503801519fe794f,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
35fed79c749b46ffb0fa12427783f731c3e597d5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
58d9bf8287df5ef7e27fb6f05909326721129248,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,
75e6d977ca88ef92bc8f71df482169a7e1f5918d,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
b00ce97a1ffb828b83654a0042442c7aa2833c28,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
010d36a7e657af1ec0719c84618d2e3d8db6b42d,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
66fce60bf9e69f81eeaa7e65a40e53a07644877d,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
b9f8764161b08aa86531149658d564429daa84dc,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
5edc50762b26606234296c11cb7e30e050ff4d53,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
